artifact_id	queue_id	source_type	language	title	author	source_path	artifact_path	status
fiction_en-wind-in-the-willows	fiction_en:wind-in-the-willows	fiction	en	The Wind in the Willows	Kenneth Grahame	corpus/raw/gutenberg/wind-in-the-willows.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-wind-in-the-willows.md	pending_extraction
fiction_en-the-jungle	fiction_en:the-jungle	fiction	en	The Jungle	Upton Sinclair	corpus/raw/gutenberg/the-jungle.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-the-jungle.md	pending_extraction
fiction_en-scarlet-pimpernel	fiction_en:scarlet-pimpernel	fiction	en	The Scarlet Pimpernel	Baroness Orczy	corpus/raw/gutenberg/scarlet-pimpernel.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-scarlet-pimpernel.md	pending_extraction
fiction_en-prisoner-of-zenda	fiction_en:prisoner-of-zenda	fiction	en	The Prisoner of Zenda	Anthony Hope	corpus/raw/gutenberg/prisoner-of-zenda.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-prisoner-of-zenda.md	pending_extraction
fiction_en-three-musketeers	fiction_en:three-musketeers	fiction	en	The Three Musketeers	Alexandre Dumas	corpus/raw/gutenberg/three-musketeers.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-three-musketeers.md	pending_extraction
fiction_en-call-of-the-wild	fiction_en:call-of-the-wild	fiction	en	The Call of the Wild	Jack London	corpus/raw/gutenberg/call-of-the-wild.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-call-of-the-wild.md	pending_extraction
fiction_en-white-fang	fiction_en:white-fang	fiction	en	White Fang	Jack London	corpus/raw/gutenberg/white-fang.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-white-fang.md	pending_extraction
fiction_en-sea-wolf	fiction_en:sea-wolf	fiction	en	The Sea-Wolf	Jack London	corpus/raw/gutenberg/sea-wolf.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-sea-wolf.md	pending_extraction
fiction_en-david-copperfield	fiction_en:david-copperfield	fiction	en	David Copperfield	Charles Dickens	corpus/raw/gutenberg/david-copperfield.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-david-copperfield.md	pending_extraction
fiction_en-bleak-house	fiction_en:bleak-house	fiction	en	Bleak House	Charles Dickens	corpus/raw/gutenberg/bleak-house.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-bleak-house.md	pending_extraction
fiction_en-oliver-twist	fiction_en:oliver-twist	fiction	en	Oliver Twist	Charles Dickens	corpus/raw/gutenberg/oliver-twist.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-oliver-twist.md	pending_extraction
fiction_en-pickwick-papers	fiction_en:pickwick-papers	fiction	en	The Pickwick Papers	Charles Dickens	corpus/raw/gutenberg/pickwick-papers.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-pickwick-papers.md	pending_extraction
fiction_en-hard-times	fiction_en:hard-times	fiction	en	Hard Times	Charles Dickens	corpus/raw/gutenberg/hard-times.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-hard-times.md	pending_extraction
fiction_en-age-of-innocence	fiction_en:age-of-innocence	fiction	en	The Age of Innocence	Edith Wharton	corpus/raw/gutenberg/age-of-innocence.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-age-of-innocence.md	pending_extraction
fiction_en-house-of-mirth	fiction_en:house-of-mirth	fiction	en	The House of Mirth	Edith Wharton	corpus/raw/gutenberg/house-of-mirth.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-house-of-mirth.md	pending_extraction
fiction_en-ethan-frome	fiction_en:ethan-frome	fiction	en	Ethan Frome	Edith Wharton	corpus/raw/gutenberg/ethan-frome.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-ethan-frome.md	pending_extraction
fiction_en-room-with-a-view	fiction_en:room-with-a-view	fiction	en	A Room with a View	E. M. Forster	corpus/raw/gutenberg/room-with-a-view.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-room-with-a-view.md	pending_extraction
fiction_en-howards-end	fiction_en:howards-end	fiction	en	Howards End	E. M. Forster	corpus/raw/gutenberg/howards-end.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-howards-end.md	pending_extraction
fiction_en-moonstone	fiction_en:moonstone	fiction	en	The Moonstone	Wilkie Collins	corpus/raw/gutenberg/moonstone.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-moonstone.md	pending_extraction
fiction_en-woman-in-white	fiction_en:woman-in-white	fiction	en	The Woman in White	Wilkie Collins	corpus/raw/gutenberg/woman-in-white.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-woman-in-white.md	pending_extraction
fiction_en-armadale	fiction_en:armadale	fiction	en	Armadale	Wilkie Collins	corpus/raw/gutenberg/armadale.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-armadale.md	pending_extraction
fiction_en-no-name	fiction_en:no-name	fiction	en	No Name	Wilkie Collins	corpus/raw/gutenberg/no-name.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-no-name.md	pending_extraction
fiction_en-north-and-south	fiction_en:north-and-south	fiction	en	North and South	Elizabeth Cleghorn Gaskell	corpus/raw/gutenberg/north-and-south.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-north-and-south.md	pending_extraction
fiction_en-cranford	fiction_en:cranford	fiction	en	Cranford	Elizabeth Cleghorn Gaskell	corpus/raw/gutenberg/cranford.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-cranford.md	pending_extraction
fiction_en-awakening	fiction_en:awakening	fiction	en	The Awakening	Kate Chopin	corpus/raw/gutenberg/awakening.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-awakening.md	pending_extraction
fiction_en-red-badge-of-courage	fiction_en:red-badge-of-courage	fiction	en	The Red Badge of Courage	Stephen Crane	corpus/raw/gutenberg/red-badge-of-courage.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-red-badge-of-courage.md	pending_extraction
fiction_en-sister-carrie	fiction_en:sister-carrie	fiction	en	Sister Carrie	Theodore Dreiser	corpus/raw/gutenberg/sister-carrie.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-sister-carrie.md	pending_extraction
fiction_en-return-of-the-native	fiction_en:return-of-the-native	fiction	en	The Return of the Native	Thomas Hardy	corpus/raw/gutenberg/return-of-the-native.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-return-of-the-native.md	pending_extraction
fiction_en-far-from-madding-crowd	fiction_en:far-from-madding-crowd	fiction	en	Far from the Madding Crowd	Thomas Hardy	corpus/raw/gutenberg/far-from-madding-crowd.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-far-from-madding-crowd.md	pending_extraction
fiction_en-mayor-of-casterbridge	fiction_en:mayor-of-casterbridge	fiction	en	The Mayor of Casterbridge	Thomas Hardy	corpus/raw/gutenberg/mayor-of-casterbridge.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-mayor-of-casterbridge.md	pending_extraction
fiction_en-tess-of-the-durbervilles	fiction_en:tess-of-the-durbervilles	fiction	en	Tess of the d'Urbervilles	Thomas Hardy	corpus/raw/gutenberg/tess-of-the-durbervilles.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-tess-of-the-durbervilles.md	pending_extraction
fiction_en-jude-the-obscure	fiction_en:jude-the-obscure	fiction	en	Jude the Obscure	Thomas Hardy	corpus/raw/gutenberg/jude-the-obscure.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-jude-the-obscure.md	pending_extraction
fiction_en-of-human-bondage	fiction_en:of-human-bondage	fiction	en	Of Human Bondage	W. Somerset Maugham	corpus/raw/gutenberg/of-human-bondage.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-of-human-bondage.md	pending_extraction
fiction_en-moon-and-sixpence	fiction_en:moon-and-sixpence	fiction	en	The Moon and Sixpence	W. Somerset Maugham	corpus/raw/gutenberg/moon-and-sixpence.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-moon-and-sixpence.md	pending_extraction
fiction_en-secret-garden	fiction_en:secret-garden	fiction	en	The Secret Garden	Frances Hodgson Burnett	corpus/raw/gutenberg/secret-garden.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-secret-garden.md	pending_extraction
fiction_en-anne-of-green-gables	fiction_en:anne-of-green-gables	fiction	en	Anne of Green Gables	L. M. Montgomery	corpus/raw/gutenberg/anne-of-green-gables.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-anne-of-green-gables.md	pending_extraction
fiction_en-pollyanna	fiction_en:pollyanna	fiction	en	Pollyanna	Eleanor H. Porter	corpus/raw/gutenberg/pollyanna.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-pollyanna.md	pending_extraction
fiction_en-rebecca-of-sunnybrook-farm	fiction_en:rebecca-of-sunnybrook-farm	fiction	en	Rebecca of Sunnybrook Farm	Kate Douglas Wiggin	corpus/raw/gutenberg/rebecca-of-sunnybrook-farm.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-rebecca-of-sunnybrook-farm.md	pending_extraction
fiction_en-tarzan-of-the-apes	fiction_en:tarzan-of-the-apes	fiction	en	Tarzan of the Apes	Edgar Rice Burroughs	corpus/raw/gutenberg/tarzan-of-the-apes.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-tarzan-of-the-apes.md	pending_extraction
fiction_en-princess-of-mars	fiction_en:princess-of-mars	fiction	en	A Princess of Mars	Edgar Rice Burroughs	corpus/raw/gutenberg/princess-of-mars.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-princess-of-mars.md	pending_extraction
fiction_en-gods-of-mars	fiction_en:gods-of-mars	fiction	en	The Gods of Mars	Edgar Rice Burroughs	corpus/raw/gutenberg/gods-of-mars.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-gods-of-mars.md	pending_extraction
fiction_en-warlord-of-mars	fiction_en:warlord-of-mars	fiction	en	The Warlord of Mars	Edgar Rice Burroughs	corpus/raw/gutenberg/warlord-of-mars.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-warlord-of-mars.md	pending_extraction
fiction_en-at-the-earths-core	fiction_en:at-the-earths-core	fiction	en	At the Earth's Core	Edgar Rice Burroughs	corpus/raw/gutenberg/at-the-earths-core.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-at-the-earths-core.md	pending_extraction
fiction_en-pellucidar	fiction_en:pellucidar	fiction	en	Pellucidar	Edgar Rice Burroughs	corpus/raw/gutenberg/pellucidar.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-pellucidar.md	pending_extraction
fiction_en-king-solomons-mines	fiction_en:king-solomons-mines	fiction	en	King Solomon's Mines	H. Rider Haggard	corpus/raw/gutenberg/king-solomons-mines.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-king-solomons-mines.md	pending_extraction
fiction_en-she	fiction_en:she	fiction	en	She	H. Rider Haggard	corpus/raw/gutenberg/she.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-she.md	pending_extraction
fiction_en-allan-quatermain	fiction_en:allan-quatermain	fiction	en	Allan Quatermain	H. Rider Haggard	corpus/raw/gutenberg/allan-quatermain.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-allan-quatermain.md	pending_extraction
fiction_en-thirty-nine-steps	fiction_en:thirty-nine-steps	fiction	en	The Thirty-Nine Steps	John Buchan	corpus/raw/gutenberg/thirty-nine-steps.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-thirty-nine-steps.md	pending_extraction
fiction_en-greenmantle	fiction_en:greenmantle	fiction	en	Greenmantle	John Buchan	corpus/raw/gutenberg/greenmantle.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-greenmantle.md	pending_extraction
fiction_en-man-who-was-thursday	fiction_en:man-who-was-thursday	fiction	en	The Man Who Was Thursday	G. K. Chesterton	corpus/raw/gutenberg/man-who-was-thursday.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-man-who-was-thursday.md	pending_extraction
fiction_en-innocence-of-father-brown	fiction_en:innocence-of-father-brown	fiction	en	The Innocence of Father Brown	G. K. Chesterton	corpus/raw/gutenberg/innocence-of-father-brown.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-innocence-of-father-brown.md	pending_extraction
fiction_en-mysterious-affair-at-styles	fiction_en:mysterious-affair-at-styles	fiction	en	The Mysterious Affair at Styles	Agatha Christie	corpus/raw/gutenberg/mysterious-affair-at-styles.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-mysterious-affair-at-styles.md	pending_extraction
fiction_en-secret-adversary	fiction_en:secret-adversary	fiction	en	The Secret Adversary	Agatha Christie	corpus/raw/gutenberg/secret-adversary.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-secret-adversary.md	pending_extraction
fiction_en-study-in-scarlet	fiction_en:study-in-scarlet	fiction	en	A Study in Scarlet	Arthur Conan Doyle	corpus/raw/gutenberg/study-in-scarlet.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-study-in-scarlet.md	pending_extraction
fiction_en-sign-of-four	fiction_en:sign-of-four	fiction	en	The Sign of the Four	Arthur Conan Doyle	corpus/raw/gutenberg/sign-of-four.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-sign-of-four.md	pending_extraction
fiction_en-hound-of-the-baskervilles	fiction_en:hound-of-the-baskervilles	fiction	en	The Hound of the Baskervilles	Arthur Conan Doyle	corpus/raw/gutenberg/hound-of-the-baskervilles.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-hound-of-the-baskervilles.md	pending_extraction
fiction_en-memoirs-of-sherlock-holmes	fiction_en:memoirs-of-sherlock-holmes	fiction	en	The Memoirs of Sherlock Holmes	Arthur Conan Doyle	corpus/raw/gutenberg/memoirs-of-sherlock-holmes.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-memoirs-of-sherlock-holmes.md	pending_extraction
fiction_en-return-of-sherlock-holmes	fiction_en:return-of-sherlock-holmes	fiction	en	The Return of Sherlock Holmes	Arthur Conan Doyle	corpus/raw/gutenberg/return-of-sherlock-holmes.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-return-of-sherlock-holmes.md	pending_extraction
fiction_en-valley-of-fear	fiction_en:valley-of-fear	fiction	en	The Valley of Fear	Arthur Conan Doyle	corpus/raw/gutenberg/valley-of-fear.txt	/Users/chris0810/Documents/Codex/Novel System/corpus/derived/reading-artifacts/first-pass/fiction_en-valley-of-fear.md	pending_extraction
